Date of Race,Time,Track,Horse,Distance,Place,Industry SP,Betfair SP,Predicted_Win_Probability
2023-12-30,12:05:00,NEWBURY,Spring Note,2m½f,1,3.75,3.7,0.39198378
2023-12-30,12:05:00,NEWBURY,Parikarma,2m½f,7,5.5,6.65,0.43834737
2023-12-30,12:05:00,NEWBURY,Magical Maggie,2m½f,4,6.5,6.95,0.19420525
2023-12-30,12:05:00,NEWBURY,Greyval,2m½f,6,7.0,8.01,0.27972293
2023-12-30,12:05:00,NEWBURY,Mary,2m½f,8,8.0,8.57,0.18824981
2023-12-30,12:05:00,NEWBURY,Amelias Dance,2m½f,2,10.0,13.5,0.101650365
2023-12-30,12:05:00,NEWBURY,Walk Of No Shame,2m½f,3,12.0,16.5,0.104206964
2023-12-30,12:05:00,NEWBURY,Lime Avenue,2m½f,PU,12.0,14.5,0.15009561
2023-12-30,12:05:00,NEWBURY,Mucuna,2m½f,5,67.0,117.55,0.004913312
2023-12-30,12:40:00,NEWBURY,Jeriko Du Reponet,2m½f,1,1.4,1.48,0.7993248
2023-12-30,12:40:00,NEWBURY,Secret Squirrel,2m½f,2,6.0,7.06,0.1759426
2023-12-30,12:40:00,NEWBURY,Paradias,2m½f,3,8.5,11.92,0.2561829
2023-12-30,12:40:00,NEWBURY,Officer Of State,2m½f,5,10.0,11.5,0.52050084
2023-12-30,12:40:00,NEWBURY,Jaitroplaclasse,2m½f,4,51.0,100.0,0.014047768
2023-12-30,13:15:00,NEWBURY,Martator,2m½f,2,2.2,2.11,0.74422055
2023-12-30,13:15:00,NEWBURY,The Russian Doyen,2m½f,4,4.5,5.6,0.64845264
2023-12-30,13:15:00,NEWBURY,Issar dAiry,2m½f,1,5.0,5.7,0.1259366
2023-12-30,13:15:00,NEWBURY,Guy,2m½f,3,7.5,7.93,0.19516984
2023-12-30,13:15:00,NEWBURY,Our Follet,2m½f,5,15.0,20.1,0.18266167
2023-12-30,13:50:00,NEWBURY,Rambo T,2m4½f,1,3.0,3.15,0.70297104
2023-12-30,13:50:00,NEWBURY,Irish Hill,2m4½f,2,4.33,4.53,0.5364243
2023-12-30,13:50:00,NEWBURY,Get A Tonic,2m4½f,4,4.33,4.9,0.518029
2023-12-30,13:50:00,NEWBURY,Steal A March,2m4½f,5,6.5,7.74,0.086376406
2023-12-30,13:50:00,NEWBURY,Silent Revolution,2m4½f,3,10.0,11.47,0.19455272
2023-12-30,13:50:00,NEWBURY,Now Or Never,2m4½f,PU,21.0,30.73,0.114212744
2023-12-30,14:25:00,NEWBURY,Atlanta Brave,3m2f,2,3.75,3.87,0.7327326
2023-12-30,14:25:00,NEWBURY,Bangers And Cash,3m2f,3,26.0,30.53,0.06267471
2023-12-30,14:25:00,NEWBURY,Notachance,3m2f,8,26.0,32.0,0.008546229
2023-12-30,14:25:00,NEWBURY,Surrey Quest,3m2f,1,4.5,5.02,0.71238905
2023-12-30,14:25:00,NEWBURY,Bowtogreatness,3m2f,PU,8.0,10.28,0.16907157
2023-12-30,14:25:00,NEWBURY,Certainly Red,3m2f,5,9.0,12.57,0.24933237
2023-12-30,14:25:00,NEWBURY,Shanty Alley,3m2f,4,10.0,13.55,0.09063581
2023-12-30,14:25:00,NEWBURY,Striking A Pose,3m2f,PU,12.0,15.0,0.21123716
2023-12-30,14:25:00,NEWBURY,Yes Indeed,3m2f,PU,13.0,15.63,0.11030579
2023-12-30,14:25:00,NEWBURY,Laskalin,3m2f,6,13.0,14.9,0.11259025
2023-12-30,14:25:00,NEWBURY,Docpickedme,3m2f,7,17.0,20.81,0.03452135
2023-12-30,15:00:00,NEWBURY,Captain Teague,2m4½f,1,3.0,3.08,0.7261545
2023-12-30,15:00:00,NEWBURY,Willmount,2m4½f,PU,3.25,3.75,0.6272295
2023-12-30,15:00:00,NEWBURY,Lookaway,2m4½f,2,6.5,6.77,0.41081697
2023-12-30,15:00:00,NEWBURY,Johnnywho,2m4½f,4,7.5,9.1,0.19228718
2023-12-30,15:00:00,NEWBURY,Masaccio,2m4½f,5,9.0,10.75,0.1606126
2023-12-30,15:00:00,NEWBURY,Farnoge,2m4½f,PU,21.0,24.46,0.09978333
2023-12-30,15:00:00,NEWBURY,The Jukebox Man,2m4½f,3,21.0,25.55,0.032338846
2023-12-30,15:00:00,NEWBURY,Brave Jen,2m4½f,PU,151.0,328.7,0.0015204955
2023-12-30,15:00:00,NEWBURY,Bullets Hill,2m4½f,PU,251.0,982.18,0.0015868753
2023-12-30,15:35:00,NEWBURY,Walking On Air,2m6½f,2,3.5,3.45,0.5614069
2023-12-30,15:35:00,NEWBURY,Passing Well,2m6½f,3,3.75,4.0,0.6972523
2023-12-30,15:35:00,NEWBURY,Ballycamus,2m6½f,4,5.0,5.5,0.55623776
2023-12-30,15:35:00,NEWBURY,Golden Son,2m6½f,PU,8.5,10.89,0.2741715
2023-12-30,15:35:00,NEWBURY,Neon Moon,2m6½f,5,9.5,11.5,0.20279044
2023-12-30,15:35:00,NEWBURY,Henrys Friend,2m6½f,1,9.5,10.61,0.3751613
2023-12-30,15:35:00,NEWBURY,Lubeat Foras,2m6½f,6,26.0,39.44,0.08467753
2023-12-20,12:15:00,NEWBURY,Therapist,2m½f,3,2.25,2.56,0.87036896
2023-12-20,12:15:00,NEWBURY,Through The Ages,2m½f,1,2.5,2.5,0.7812896
2023-12-20,12:15:00,NEWBURY,Royal Deeside,2m½f,2,5.0,5.42,0.65729004
2023-12-20,12:15:00,NEWBURY,Gusty,2m½f,PU,34.0,48.62,0.06365723
2023-12-20,12:15:00,NEWBURY,All Blues,2m½f,5,51.0,84.31,0.016499477
